mol	IC50(¦ÌM)	cmpdNO.
Oc1cc(O)ccc1C(=O)\C=C\c1ccc(O)cc1	32.82	1
O(C)c1cc(O)ccc1\C=C\C(=O)c1ccc(O)cc1	21.09	2
Oc1c(C\C=C(\C)/C)c(O)ccc1C(=O)\C=C\c1cc(C\C=C(\C)/C)c(O)cc1	192.05	3
Oc1cc(O)ccc1C(=O)\C=C\c1cc(C\C=C(\C)/C)c(O)cc1	159.04	4
O(C)c1cc(O)ccc1\C=C\C(=O)c1cc(C\C=C(\C)/C)c(O)cc1	104.05	5
Oc1c(cc(cc1O)\C=C\C(=O)c1ccc(O)cc1O)C\C=C(\C)/C	76	6
O(C)c1cc(O)c(cc1\C=C\C(=O)c1ccc(O)cc1)C(C=C)(C)C	56.41	7
O(C)c1cc(O)c(cc1\C=C\C(=O)c1ccc(O)cc1O)C(C=C)(C)C	106.32	8
S=C(Nc1nc(OC)cc(OC)n1)NC(=O)NC(=O)c1ccncc1	>20	9
Clc1cnccc1C(=O)NC(=O)NC(=S)Nc1nc(cc(Cl)n1)CC	>20	10
Clc1cnccc1C(=O)NC(=O)NC(=S)Nc1nc(cc(OCC)n1)CC	>20	11
Clc1nccc(c1)C(=O)NC(=O)NC(=S)Nc1nc(cc(OCC)n1)CC	>20	12
Clc1nc(nc(c1)C)NC(=S)NC(=O)NC(=O)c1cc(Cl)ncc1	>20	13
Clc1nccc(c1)C(=O)NC(=O)NC(=S)Nc1nc(cc(n1)C)C	>20	14
S=C(Nc1nc(OCC)cc(OCC)n1)NC(=O)C=1CC(=CC=1)c1cc([N+](=O)[O-])ccc1	>20	15
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(cc(OC)n1)C	>20	16
Clc1cc(ccc1)C=1CC(=CC=1)C(=O)NC(=S)Nc1nc(OCC)cc(Cl)n1	>20	17
O1C=C(C(=O)c2c1cc(O)c(C\C=C(\C)/C)c2O)c1ccc(O)cc1	>50	18
O1C=C(C(=O)c2c1cc(O)cc2O)c1cc(C\C=C(\C)/C)c(O)cc1	>50	19
O1c2c(C=CC1(C)C)c(O)c1c(OC=C(C1=O)c1ccc(O)cc1)c2CC(O)C(C)=C	>50	21
Oc1c(cc(cc1C\C=C(\C)/C)\C=C\C(=O)c1ccc(O)cc1O)C\C=C(\C)/C	67.36	22
O(C)c1cc(O)ccc1\C=C(\C=O)/c1ccc(OC)cc1O	29.3	23
O1c2c(C=CC1(C)C)c(O)c1c(OC=C(C1=O)c1ccc(O)cc1)c2CO	>50	25
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCCC1CO	49.71	26
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCN(CC1)C	148.4	27
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)C	164.49	28
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCCC1	44.47	29
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CC(CCC1)C	40.91	30
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CC(O)CCC1	45.35	31
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)Cc1ccccc1	46.11	32
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1C(COCC1C)C	63.95	33
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCN(CC1)Cc1ccccc1	48.54	34
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCOCC1	50.49	36
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(O)CC1	167.52	37
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCCCC1C	161.18	38
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1C(COCC1C)C	43.46	39
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCN(CC1)C	53.82	40
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCOCC1	81.87	41
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCC(CC1)CO	64.21	42
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CC(O)CCC1	63.63	43
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CCCCC1	62.87	44
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCC(CC1)CO	83.7	45
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCN(CC1)CCO	135.33	46
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCC(O)CC1	295.26	47
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CC(O)CCC1	258.83	48
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCOCC1	447.9	49
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCN(CC1)C	431.12	50
O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2CN1CCCC1	181.75	51
O1c2c(c(O)c(O)c(O)c2CN2CC(O)CCC2)C(=O)C=C1c1ccccc1	68.22	52
O1c2c(c(O)c(O)c(O)c2CN2CCC(CC2)CO)C(=O)C=C1c1ccccc1	470.1	53
O1c2c(c(O)c(O)c(O)c2CN2C(COCC2C)C)C(=O)C=C1c1ccccc1	591.03	54
O1c2c(c(O)c(O)c(O)c2CN2CCCCC2C)C(=O)C=C1c1ccccc1	99.66	55
O1c2c(c(O)c(O)c(O)c2CN2CCCC2)C(=O)C=C1c1ccccc1	107.11	56
O1c2c(c(O)c(O)c(O)c2CN2CCC(O)CC2)C(=O)C=C1c1ccccc1	91.54	57
O1c2c(c(O)c(O)c(O)c2CN2CCN(CC2)CCO)C(=O)C=C1c1ccccc1	276.43	58
O1c2c(c(O)c(O)c(O)c2CN2CCN(CC2)C)C(=O)C=C1c1ccccc1	301.71	59
O1c2c(c(O)c(O)c(O)c2CN2CCCCC2)C(=O)C=C1c1ccccc1	103.87	60
